[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
Time = 2017-08-25 12:00:00, steps=0 (0s)
[]
Time = 2017-08-25 20:00:00, delta t in [0.21336806, 0.21385151], steps=562 (3s)
Time = 2017-08-25 20:02:00, delta t in [0.21284469, 0.21336736], steps=564 (3s)
Time = 2017-08-25 20:04:00, delta t in [0.21235609, 0.21284459], steps=565 (3s)
Time = 2017-08-25 20:06:00, delta t in [0.21187010, 0.21235570], steps=566 (3s)
Time = 2017-08-25 20:08:00, delta t in [0.21139684, 0.21186947], steps=568 (3s)
Time = 2017-08-25 20:10:00, delta t in [0.21090708, 0.21139683], steps=569 (3s)
Time = 2017-08-25 20:12:00, delta t in [0.21042414, 0.21090682], steps=570 (3s)
Time = 2017-08-25 20:14:00, delta t in [0.20992703, 0.21042360], steps=571 (3s)
Time = 2017-08-25 20:16:00, delta t in [0.20943364, 0.20992621], steps=573 (3s)
Time = 2017-08-25 20:18:00, delta t in [0.20894822, 0.20943339], steps=574 (3s)
Time = 2017-08-25 20:20:00, delta t in [0.20853036, 0.20894768], steps=575 (3s)
Time = 2017-08-25 20:22:00, delta t in [0.20797530, 0.20853007], steps=577 (3s)
Time = 2017-08-25 20:24:00, delta t in [0.20749934, 0.20797511], steps=578 (3s)
Time = 2017-08-25 20:26:00, delta t in [0.20704371, 0.20749882], steps=579 (3s)
Time = 2017-08-25 20:28:00, delta t in [0.20658948, 0.20704297], steps=581 (3s)
Time = 2017-08-25 20:30:00, delta t in [0.20607560, 0.20658930], steps=582 (3s)
Time = 2017-08-25 20:32:00, delta t in [0.20557005, 0.20607510], steps=584 (3s)
Time = 2017-08-25 20:34:00, delta t in [0.20507937, 0.20557002], steps=585 (3s)
Time = 2017-08-25 20:36:00, delta t in [0.20467510, 0.20507897], steps=586 (3s)
Time = 2017-08-25 20:38:00, delta t in [0.20427235, 0.20467460], steps=587 (3s)
Time = 2017-08-25 20:40:00, delta t in [0.20386966, 0.20427175], steps=589 (3s)
Time = 2017-08-25 20:42:00, delta t in [0.20347149, 0.20386964], steps=590 (3s)
Time = 2017-08-25 20:44:00, delta t in [0.20307335, 0.20347137], steps=591 (3s)
Time = 2017-08-25 20:46:00, delta t in [0.20267658, 0.20307312], steps=592 (3s)
Time = 2017-08-25 20:48:00, delta t in [0.20228998, 0.20267625], steps=593 (3s)
Time = 2017-08-25 20:50:00, delta t in [0.20189735, 0.20228957], steps=594 (3s)
Time = 2017-08-25 20:52:00, delta t in [0.20150513, 0.20189683], steps=595 (3s)
Time = 2017-08-25 20:54:00, delta t in [0.20129226, 0.20150450], steps=596 (3s)
Time = 2017-08-25 20:56:00, delta t in [0.20093373, 0.20129685], steps=597 (3s)
Time = 2017-08-25 20:58:00, delta t in [0.20054667, 0.20093332], steps=598 (3s)
Time = 2017-08-25 21:00:00, delta t in [0.20016700, 0.20054617], steps=599 (3s)
Time = 2017-08-25 21:02:00, delta t in [0.19979205, 0.20016641], steps=601 (3s)
Time = 2017-08-25 21:04:00, delta t in [0.19944887, 0.19979201], steps=602 (3s)
Time = 2017-08-25 21:06:00, delta t in [0.19909104, 0.19944882], steps=603 (3s)
Time = 2017-08-25 21:08:00, delta t in [0.19867661, 0.19909096], steps=604 (3s)
Time = 2017-08-25 21:10:00, delta t in [0.19827097, 0.19867635], steps=605 (3s)
Time = 2017-08-25 21:12:00, delta t in [0.19787515, 0.19827057], steps=606 (3s)
Time = 2017-08-25 21:14:00, delta t in [0.19746564, 0.19787459], steps=608 (3s)
Time = 2017-08-25 21:16:00, delta t in [0.19705518, 0.19746559], steps=609 (3s)
Time = 2017-08-25 21:18:00, delta t in [0.19667075, 0.19705495], steps=610 (3s)
Time = 2017-08-25 21:20:00, delta t in [0.19626575, 0.19667038], steps=611 (3s)
Time = 2017-08-25 21:22:00, delta t in [0.19586834, 0.19626524], steps=613 (3s)
Time = 2017-08-25 21:24:00, delta t in [0.19548195, 0.19586832], steps=614 (3s)
Time = 2017-08-25 21:26:00, delta t in [0.19509357, 0.19548179], steps=615 (3s)
Time = 2017-08-25 21:28:00, delta t in [0.19470768, 0.19509327], steps=616 (3s)
Time = 2017-08-25 21:30:00, delta t in [0.19431931, 0.19470724], steps=617 (3s)
Time = 2017-08-25 21:32:00, delta t in [0.19393170, 0.19431873], steps=619 (3s)
Time = 2017-08-25 21:34:00, delta t in [0.19354739, 0.19393160], steps=620 (3s)
Time = 2017-08-25 21:36:00, delta t in [0.19316758, 0.19354715], steps=621 (3s)
Time = 2017-08-25 21:38:00, delta t in [0.19282697, 0.19316721], steps=622 (3s)
Time = 2017-08-25 21:40:00, delta t in [0.19249705, 0.19282656], steps=623 (3s)
Time = 2017-08-25 21:42:00, delta t in [0.19215589, 0.19249659], steps=624 (3s)
Time = 2017-08-25 21:44:00, delta t in [0.19167818, 0.19215533], steps=626 (3s)
Time = 2017-08-25 21:46:00, delta t in [0.19134880, 0.19167804], steps=627 (3s)
Time = 2017-08-25 21:48:00, delta t in [0.19103006, 0.19134850], steps=628 (3s)
Time = 2017-08-25 21:50:00, delta t in [0.19070584, 0.19102973], steps=629 (3s)
