evolving elements: 116
evolving elements: 144
evolving elements: 129
evolving elements: 151
evolving elements: 157
evolving elements: 143
evolving elements: 156
evolving elements: 190
evolving elements: 136
evolving elements: 178
evolving elements: 147
Time = 2017-04-01 00:00:00, steps=0 (0s)
evolving elements: 143
evolving elements: 139
evolving elements: 132
evolving elements: 155
evolving elements: 185
evolving elements: 151
evolving elements: 126
evolving elements: 167
evolving elements: 192
evolving elements: 197
evolving elements: 156
evolving elements: 147
evolving elements: 227
Time = 2017-04-01 08:28:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:30:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:32:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:34:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:36:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:38:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:40:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:42:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:44:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:46:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:48:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:50:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:52:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:54:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:56:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:58:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:00:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:02:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:04:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:06:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:08:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:10:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:12:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:14:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:16:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:18:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:20:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:22:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:24:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:26:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:28:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:30:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:32:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:34:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:36:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:38:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:40:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:42:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:44:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:46:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 09:48:00, delta t = 1000.00000000, steps=1 (0s)
