[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
Time = 2017-08-25 00:00:00, steps=0 (0s)
[]
Time = 2017-08-25 06:58:00, delta t in [0.33427999, 0.33428291], steps=359 (1s)
Time = 2017-08-25 07:00:00, delta t in [0.33428292, 0.33428584], steps=359 (1s)
Time = 2017-08-25 07:02:00, delta t in [0.33428585, 0.33428878], steps=359 (1s)
Time = 2017-08-25 07:04:00, delta t in [0.33428879, 0.33429173], steps=359 (1s)
Time = 2017-08-25 07:06:00, delta t in [0.33429174, 0.33429469], steps=359 (1s)
Time = 2017-08-25 07:08:00, delta t in [0.33429470, 0.33429765], steps=359 (1s)
Time = 2017-08-25 07:10:00, delta t in [0.33429766, 0.33430062], steps=359 (1s)
Time = 2017-08-25 07:12:00, delta t in [0.33430063, 0.33430359], steps=359 (1s)
Time = 2017-08-25 07:14:00, delta t in [0.33430360, 0.33430656], steps=359 (1s)
Time = 2017-08-25 07:16:00, delta t in [0.33430657, 0.33430953], steps=359 (1s)
Time = 2017-08-25 07:18:00, delta t in [0.33430954, 0.33431251], steps=359 (1s)
Time = 2017-08-25 07:20:00, delta t in [0.33431251, 0.33431548], steps=359 (1s)
Time = 2017-08-25 07:22:00, delta t in [0.33431549, 0.33431845], steps=359 (1s)
Time = 2017-08-25 07:24:00, delta t in [0.33431846, 0.33432142], steps=359 (1s)
Time = 2017-08-25 07:26:00, delta t in [0.33432143, 0.33432439], steps=359 (1s)
Time = 2017-08-25 07:28:00, delta t in [0.33432440, 0.33432735], steps=359 (1s)
Time = 2017-08-25 07:30:00, delta t in [0.33432736, 0.33433031], steps=359 (1s)
Time = 2017-08-25 07:32:00, delta t in [0.33433032, 0.33433327], steps=359 (1s)
Time = 2017-08-25 07:34:00, delta t in [0.33433327, 0.33433622], steps=359 (1s)
Time = 2017-08-25 07:36:00, delta t in [0.33433622, 0.33433916], steps=359 (1s)
Time = 2017-08-25 07:38:00, delta t in [0.33433917, 0.33434210], steps=359 (1s)
Time = 2017-08-25 07:40:00, delta t in [0.33434211, 0.33434503], steps=359 (1s)
Time = 2017-08-25 07:42:00, delta t in [0.33434504, 0.33434795], steps=359 (1s)
Time = 2017-08-25 07:44:00, delta t in [0.33434796, 0.33435087], steps=359 (1s)
Time = 2017-08-25 07:46:00, delta t in [0.33435088, 0.33435378], steps=359 (1s)
Time = 2017-08-25 07:48:00, delta t in [0.33435378, 0.33435667], steps=359 (1s)
Time = 2017-08-25 07:50:00, delta t in [0.33435668, 0.33435956], steps=359 (1s)
Time = 2017-08-25 07:52:00, delta t in [0.33435957, 0.33436244], steps=359 (1s)
Time = 2017-08-25 07:54:00, delta t in [0.33436245, 0.33436531], steps=359 (1s)
Time = 2017-08-25 07:56:00, delta t in [0.33436531, 0.33436816], steps=359 (1s)
Time = 2017-08-25 07:58:00, delta t in [0.33436817, 0.33437101], steps=359 (1s)
Time = 2017-08-25 08:00:00, delta t in [0.33437102, 0.33437384], steps=359 (1s)
Time = 2017-08-25 08:02:00, delta t in [0.33437385, 0.33437667], steps=359 (1s)
Time = 2017-08-25 08:04:00, delta t in [0.33437667, 0.33437948], steps=359 (1s)
Time = 2017-08-25 08:06:00, delta t in [0.33437949, 0.33438228], steps=359 (1s)
Time = 2017-08-25 08:08:00, delta t in [0.33438228, 0.33438506], steps=359 (1s)
Time = 2017-08-25 08:10:00, delta t in [0.33438507, 0.33438784], steps=359 (1s)
Time = 2017-08-25 08:12:00, delta t in [0.33438785, 0.33439060], steps=359 (1s)
Time = 2017-08-25 08:14:00, delta t in [0.33439061, 0.33439335], steps=359 (1s)
Time = 2017-08-25 08:16:00, delta t in [0.33439335, 0.33439608], steps=359 (1s)
Time = 2017-08-25 08:18:00, delta t in [0.33439609, 0.33439880], steps=359 (1s)
Time = 2017-08-25 08:20:00, delta t in [0.33439881, 0.33440151], steps=359 (1s)
Time = 2017-08-25 08:22:00, delta t in [0.33440152, 0.33440421], steps=359 (1s)
Time = 2017-08-25 08:24:00, delta t in [0.33440421, 0.33440689], steps=359 (1s)
Time = 2017-08-25 08:26:00, delta t in [0.33440689, 0.33440955], steps=359 (1s)
Time = 2017-08-25 08:28:00, delta t in [0.33440956, 0.33441220], steps=359 (1s)
Time = 2017-08-25 08:30:00, delta t in [0.33441221, 0.33441484], steps=359 (1s)
Time = 2017-08-25 08:32:00, delta t in [0.33441485, 0.33441747], steps=359 (1s)
